k,silhouette,davies_bouldin,inertia
4,0.09358904510736465,2.5793911167926473,17205.05078125
5,0.06855156272649765,2.9223912645556553,16746.44140625
6,0.06427978724241257,2.7726104467491095,16219.4765625
7,0.05431528761982918,2.94050860269673,16036.798828125
8,0.06193691864609718,3.074828009292372,15710.013671875
9,0.054935552179813385,3.2764966543824103,15562.8984375
10,0.044977471232414246,3.066023885634873,15363.0810546875
11,0.041304003447294235,3.19712402130409,15234.3154296875
12,0.043149542063474655,3.1068639993339975,15093.84375
13,0.040350425988435745,3.10988490535119,15011.642578125
14,0.04089971259236336,3.1343268556709227,14916.0673828125
15,0.03105795383453369,3.1189496677130624,14781.61328125
16,0.04109390079975128,2.9809495834712187,14640.6650390625
17,0.03217235952615738,2.995778009908972,14535.2470703125
18,0.03021356090903282,2.913984387395109,14356.18359375
19,0.03106814995408058,2.90414319765716,14249.3447265625
20,0.032762058079242706,2.893906323209022,14176.892578125
