ngram_range,max_features,min_df,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",1000,2,0.2,5,161,0.08864559420801696,0.40749239921569824,0.9169825849582081
"(1, 1)",1000,2,0.2,10,122,0.20784036729648597,0.3777190148830414,1.0591011296114554
"(1, 1)",1000,2,0.2,15,95,0.3339219494967332,0.22891667485237122,0.9658068165485263
"(1, 1)",1000,2,0.4,5,75,0.0035316969803990818,0.32993122935295105,0.6160520011365918
"(1, 1)",1000,2,0.4,10,67,0.024015539466713757,0.3498239517211914,1.2541807464243953
"(1, 1)",1000,2,0.4,15,62,0.06127494260992407,0.3845950663089752,1.4118918423501143
"(1, 1)",1000,2,0.6,5,59,0.0,0.412722110748291,0.30467744178469125
"(1, 1)",1000,2,0.6,10,51,0.010771675790217199,0.4215995967388153,1.2625017326926544
"(1, 1)",1000,2,0.6,15,43,0.03125551827653188,0.4187242388725281,1.3562306618707067
"(1, 1)",1000,2,0.8,5,55,0.0,0.4091756343841553,0.31035775444956926
"(1, 1)",1000,2,0.8,10,48,0.00953558184707752,0.39414307475090027,1.274154571762147
"(1, 1)",1000,2,0.8,15,39,0.02843016069221261,0.39939066767692566,1.3552201680846354
"(1, 1)",1000,2,1.0,5,52,0.0,0.34422141313552856,0.34951960717689123
"(1, 1)",1000,2,1.0,10,45,0.009358996998057567,0.3293120861053467,1.2502906255709063
"(1, 1)",1000,2,1.0,15,36,0.028253575843192654,0.34679052233695984,1.250135650586926
"(1, 1)",3000,2,0.2,5,160,0.07840367296485962,0.4542311131954193,0.779100356480795
"(1, 1)",3000,2,0.2,10,124,0.2007769733356878,0.38547784090042114,1.0400951786874555
"(1, 1)",3000,2,0.2,15,99,0.32191417976337633,0.2351287603378296,1.3625993421422071
"(1, 1)",3000,2,0.4,5,83,0.0035316969803990818,0.3088352382183075,0.4921166600257377
"(1, 1)",3000,2,0.4,10,67,0.030902348578491966,0.34908774495124817,1.2847742328021383
"(1, 1)",3000,2,0.4,15,55,0.0734592971923009,0.33835315704345703,1.4849401037818686
"(1, 1)",3000,2,0.6,5,69,0.0001765848490199541,0.3650851547718048,0.27668219927364057
"(1, 1)",3000,2,0.6,10,56,0.018364824298075226,0.43515723943710327,1.1903545624475669
"(1, 1)",3000,2,0.6,15,41,0.051209606215786685,0.4112604558467865,1.3881063130890638
"(1, 1)",3000,2,0.8,5,61,0.0,0.38942620158195496,0.23903475471276645
"(1, 1)",3000,2,0.8,10,47,0.01818823944905527,0.4640823006629944,1.1468519308487453
"(1, 1)",3000,2,0.8,15,35,0.04520572134910825,0.4320151209831238,1.317366267360852
"(1, 1)",3000,2,1.0,5,61,0.0,0.38942620158195496,0.23903475471276645
"(1, 1)",3000,2,1.0,10,47,0.01818823944905527,0.4640823006629944,1.1468519308487453
"(1, 1)",3000,2,1.0,15,34,0.04520572134910825,0.5333005785942078,1.3111118639834183
"(1, 1)",5000,2,0.2,5,164,0.09182412149037612,0.4105032980442047,0.7580459321878432
"(1, 1)",5000,2,0.2,10,127,0.22179057036906233,0.3430302143096924,0.9738880923489813
"(1, 1)",5000,2,0.2,15,100,0.3395726646653717,0.21714146435260773,1.193842251479234
"(1, 1)",5000,2,0.4,5,79,0.0045912060745188065,0.2384340763092041,0.4854472915166044
"(1, 1)",5000,2,0.4,10,65,0.031078933427511918,0.2712463140487671,1.2379181886447468
"(1, 1)",5000,2,0.4,15,54,0.0734592971923009,0.3353986442089081,1.4593703247920313
"(1, 1)",5000,2,0.6,5,68,0.0007063393960798164,0.29151907563209534,0.2828539871647314
"(1, 1)",5000,2,0.6,10,55,0.018717993996115134,0.30045127868652344,1.1806265033089756
"(1, 1)",5000,2,0.6,15,42,0.04909058802754724,0.2828935384750366,1.3184557170714477
"(1, 1)",5000,2,0.8,5,59,0.0,0.41547250747680664,0.22911631222594275
"(1, 1)",5000,2,0.8,10,48,0.01430337277061628,0.41163238883018494,1.067738917113685
"(1, 1)",5000,2,0.8,15,35,0.041674024368709164,0.4420967996120453,1.22005317954179
"(1, 1)",5000,2,1.0,5,58,0.0,0.39384567737579346,0.22120006111859716
"(1, 1)",5000,2,1.0,10,47,0.01430337277061628,0.4124264717102051,1.0525088332403105
"(1, 1)",5000,2,1.0,15,34,0.04061451527458944,0.4488905966281891,1.1921966483750723
"(1, 2)",1000,2,0.2,5,157,0.08935193360409677,0.4245937466621399,0.8821153822201387
"(1, 2)",1000,2,0.2,10,121,0.21101889457884512,0.38777902722358704,0.9600180792009877
"(1, 2)",1000,2,0.2,15,93,0.3263288009888752,0.25551533699035645,0.9208985103141288
"(1, 2)",1000,2,0.4,5,75,0.0035316969803990818,0.357805073261261,0.6632885230878491
"(1, 2)",1000,2,0.4,10,70,0.019600918241214904,0.4181670546531677,1.2553344575632999
"(1, 2)",1000,2,0.4,15,57,0.06710224262758255,0.38915079832077026,1.133405562410929
"(1, 2)",1000,2,0.6,5,59,0.0003531696980399082,0.3007575273513794,0.38754678306074497
"(1, 2)",1000,2,0.6,10,53,0.008829242450997704,0.3162959814071655,1.2216027826438947
"(1, 2)",1000,2,0.6,15,40,0.03796574253929013,0.35827499628067017,1.0817688555967873
"(1, 2)",1000,2,0.8,5,50,0.0001765848490199541,0.34129267930984497,0.3147151145336567
