ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",1000,2,2,0.2,5,103,0.011329866270430906,0.2968325912952423,1.0356685770682843
"(1, 1)",1000,2,2,0.2,10,94,0.05739227340267459,0.38995012640953064,1.5331979511505311
"(1, 1)",1000,2,2,0.2,15,85,0.12221396731054977,0.4073749780654907,1.6273438678828211
"(1, 1)",1000,2,2,0.4,5,69,0.001114413075780089,0.3026553690433502,0.6686353677180825
"(1, 1)",1000,2,2,0.4,10,60,0.015230312035661218,0.28272438049316406,2.085265192183824
"(1, 1)",1000,2,2,0.4,15,53,0.04030460624071323,0.33425965905189514,1.59317586729787
"(1, 1)",1000,2,2,0.6,5,59,0.0,0.36966031789779663,0.24961844664237617
"(1, 1)",1000,2,2,0.6,10,49,0.014673105497771174,0.34895315766334534,1.437891445777616
"(1, 1)",1000,2,2,0.6,15,41,0.03287518573551263,0.3517628014087677,1.5849372438912905
"(1, 1)",1000,2,2,0.8,5,50,0.0,0.15308526158332825,0.3215105423831537
"(1, 1)",1000,2,2,0.8,10,42,0.01263001485884101,0.18236307799816132,1.5675400330219857
"(1, 1)",1000,2,2,0.8,15,37,0.024145616641901933,0.16458885371685028,1.7244104242763065
"(1, 1)",1000,2,2,1.0,5,47,0.0,0.20817378163337708,0.2917837532936584
"(1, 1)",1000,2,2,1.0,10,38,0.01263001485884101,0.23385712504386902,1.4579312353372313
"(1, 1)",1000,2,2,1.0,15,33,0.024145616641901933,0.2213098257780075,1.52687299041382
"(1, 1)",1000,2,5,0.2,5,165,0.08506686478454681,0.43696239590644836,0.8417585648780491
"(1, 1)",1000,2,5,0.2,10,125,0.20040861812778604,0.3917243480682373,0.9447245224882428
"(1, 1)",1000,2,5,0.2,15,93,0.33079494799405645,0.24941767752170563,1.0234743459096507
"(1, 1)",1000,2,5,0.4,5,71,0.0029717682020802376,0.3673633933067322,0.6003467462599867
"(1, 1)",1000,2,5,0.4,10,62,0.025817236255572064,0.4272817373275757,1.5196436972745406
