ngram_range,max_features,min_df,num_features,k,silhouette,davies_bouldin,inertia
"(1, 1)",1000,2,1000,4,0.05041180655784749,3.857141147879144,4468.725304614838
"(1, 1)",1000,2,1000,5,0.053051550438474086,3.261088193631655,4348.652212836487
"(1, 1)",1000,2,1000,6,0.056933836848728055,4.321110868741303,4280.713156502719
"(1, 1)",1000,2,1000,7,0.0617820659801567,3.6146392842568664,4228.038268012859
"(1, 1)",1000,2,1000,8,0.0731398111370222,3.331802243326284,4120.98494409214
"(1, 1)",1000,2,1000,9,0.07178247678525367,3.3025297176870207,4103.873748877673
"(1, 1)",1000,2,1000,10,0.08010667861346737,3.292867278391415,4033.3664076043215
"(1, 1)",1000,2,1000,11,0.08451199298582789,3.3428064604946623,3987.835203119154
"(1, 1)",1000,2,1000,12,0.08852699306672153,3.2872390880266256,3939.1897069709803
"(1, 1)",1000,2,1000,13,0.09265175768588768,3.2504255537225735,3896.419601499734
"(1, 1)",1000,2,1000,14,0.09242832872615006,3.3366334097679844,3853.033206855715
"(1, 1)",1000,2,1000,15,0.09265183430642453,3.261747323004868,3824.8195411797997
"(1, 1)",1000,2,1000,16,0.09517219671217045,3.2905755806998283,3805.6272699808474
"(1, 1)",1000,2,1000,17,0.09591602470218055,3.340923270286776,3791.3550944188864
"(1, 1)",1000,2,1000,18,0.09826375314361463,3.462169391574024,3764.6044169248435
"(1, 1)",1000,2,1000,19,0.10000380787586101,3.3187162266195576,3743.0825637684943
"(1, 1)",1000,2,1000,20,0.10371105805107475,3.2497427551198563,3699.3716048283295
"(1, 2)",3000,3,3000,4,0.039868366138646597,3.1548397982189567,4649.420687438411
"(1, 2)",3000,3,3000,5,0.04356062659329557,3.6027266295121207,4597.308472455029
"(1, 2)",3000,3,3000,6,0.05132439587893423,3.454628762472803,4530.432379798121
"(1, 2)",3000,3,3000,7,0.05771226853723843,3.418792467958145,4460.0009154084
"(1, 2)",3000,3,3000,8,0.07531603279070631,2.998148641248754,4325.647506182921
"(1, 2)",3000,3,3000,9,0.08063226787291727,3.1983635106260717,4274.549115653368
"(1, 2)",3000,3,3000,10,0.08480711400914699,3.527723430416897,4246.591159493314
"(1, 2)",3000,3,3000,11,0.08758525344211411,3.6224194737503512,4221.463566821335
"(1, 2)",3000,3,3000,12,0.09008597007782623,3.4595480289879466,4181.411632774096
"(1, 2)",3000,3,3000,13,0.0936612380665325,3.424343367283003,4144.430293398066
"(1, 2)",3000,3,3000,14,0.09755535810968025,3.5138017568119833,4112.149967812082
"(1, 2)",3000,3,3000,15,0.09913119069390648,3.4671753997485624,4061.8525251295896
"(1, 2)",3000,3,3000,16,0.10185655514605031,3.3852886680817864,4050.9997779765345
"(1, 2)",3000,3,3000,17,0.10300369424100587,3.5453680488303214,4032.3373059790674
"(1, 2)",3000,3,3000,18,0.10443850944960661,3.475566826695572,3999.655786454623
"(1, 2)",3000,3,3000,19,0.10519026767011976,3.7760390498761383,3990.0896595372096
"(1, 2)",3000,3,3000,20,0.07503229382024088,2.706769817132631,4103.157280956813
"(1, 3)",5000,3,5000,4,0.03703764238298968,4.470762581093554,4754.512488483589
"(1, 3)",5000,3,5000,5,0.047405477878188516,3.692415862627415,4666.577555718637
"(1, 3)",5000,3,5000,6,0.05697969503015204,3.350535239998195,4585.520469088285
"(1, 3)",5000,3,5000,7,0.05988088329974354,4.074643811997139,4546.662709451948
"(1, 3)",5000,3,5000,8,0.08267570440540613,2.9240042402728794,4382.333066297049
"(1, 3)",5000,3,5000,9,0.08758902729913816,3.392842359916072,4333.231699464189
"(1, 3)",5000,3,5000,10,0.09196437941748471,3.299706003457989,4274.811078340272
"(1, 3)",5000,3,5000,11,0.07936574156582563,3.14965289018069,4234.159178902105
"(1, 3)",5000,3,5000,12,0.082707357908032,2.777114401693073,4190.224279405205
"(1, 3)",5000,3,5000,13,0.08554552342238515,2.78810255372935,4153.305549210807
"(1, 3)",5000,3,5000,14,0.07629411503956986,2.358032965246518,4193.94694965278
"(1, 3)",5000,3,5000,15,0.07612644344051706,2.461960351076149,4189.391059838892
"(1, 3)",5000,3,5000,16,0.0681680743522389,2.3835185899154956,4185.117143762232
"(1, 3)",5000,3,5000,17,0.07263952049487181,2.6460846148312864,4183.198194471024
"(1, 3)",5000,3,5000,18,0.07472623677313463,2.6260780387373845,4160.695979911261
"(1, 3)",5000,3,5000,19,0.0759347060937359,2.6393873340644105,4137.9460055430845
"(1, 3)",5000,3,5000,20,0.07627883095929845,2.6006981995044933,4107.784078447265
