umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
2,0.2,5,50,0.009843982169390787,-0.1492738574743271,0.8760443924093151
2,0.2,10,48,0.0512630014858841,-0.037814266979694366,1.252417827442111
2,0.2,15,58,0.14970282317979197,0.1444357931613922,3.2992661284917024
2,0.4,5,34,0.0,-0.036715056747198105,0.36368328422308716
2,0.4,10,28,0.008915304606240713,0.054991066455841064,1.4593391140601033
2,0.4,15,22,0.021545319465081723,0.05304662883281708,1.7638983347742965
2,0.6,5,30,0.0,0.05928163230419159,0.3358243541218697
2,0.6,10,24,0.00724368499257058,0.11999119818210602,1.7092440611960558
2,0.6,15,18,0.019687964338781574,0.13680735230445862,1.641335934398482
2,0.8,5,28,0.0,-0.02396337501704693,0.3499241826758457
2,0.8,10,22,0.00724368499257058,0.061871692538261414,1.826764144057446
2,0.8,15,17,0.017459138187221397,0.05267667397856712,1.5323210798507
2,1.0,5,24,0.0,0.03198237717151642,0.33437002564677903
2,1.0,10,19,0.00612927191679049,0.13187158107757568,1.4749800158936734
2,1.0,15,14,0.01634472511144131,0.12796323001384735,1.441067216198321
5,0.2,5,159,0.23532689450222882,0.1456991732120514,0.8999493189913107
5,0.2,10,93,0.4149331352154532,0.06388960778713226,0.8309577223656249
5,0.2,15,60,0.5690936106983655,-0.071892149746418,0.7559363963712424
5,0.4,5,46,0.021731054977711738,-0.10526412725448608,1.2289747116248668
5,0.4,10,41,0.06315007429420505,0.04767822474241257,1.0251961573085868
5,0.4,15,44,0.1036404160475483,0.1218489557504654,1.4198346251042013
5,0.6,5,31,0.001300148588410104,0.034522950649261475,0.5739545803400845
5,0.6,10,26,0.008543833580980683,0.12985897064208984,1.075692342841141
5,0.6,15,22,0.025445765230312035,0.12251247465610504,1.278974235047967
5,0.8,5,29,0.0007429420505200594,0.011883018538355827,0.38976889023128825
5,0.8,10,26,0.005943536404160475,0.13143455982208252,1.1279365345348602
5,0.8,15,21,0.016530460624071323,0.13183987140655518,1.182933409298325
5,1.0,5,25,0.0,0.15284961462020874,0.35581804058732464
5,1.0,10,21,0.005200594353640416,0.16127122938632965,1.142388293334322
5,1.0,15,16,0.015787518573551262,0.18062715232372284,1.1807250754563507
10,0.2,5,169,0.2423848439821694,0.11975293606519699,0.9043269739063292
10,0.2,10,90,0.4459509658246657,0.05198490247130394,0.7661027686828522
10,0.2,15,62,0.5778231797919762,-0.08867032825946808,0.7719528320838374
10,0.4,5,57,0.02600297176820208,-0.13623692095279694,1.0429223427449923
10,0.4,10,42,0.07466567607726597,-0.007763756904751062,0.9783578195792654
10,0.4,15,41,0.12871471025260028,0.1912454068660736,1.2223130388156311
10,0.6,5,32,0.0009286775631500742,0.033445488661527634,0.4911774104641267
10,0.6,10,28,0.013187221396731055,0.10836322605609894,0.8953062072967116
10,0.6,15,22,0.030460624071322436,0.10430517047643661,1.1771049644538107
10,0.8,5,29,0.0007429420505200594,0.03449399024248123,0.41422795612209456
10,0.8,10,24,0.007615156017830609,0.11161210387945175,0.875027695709645
10,0.8,15,19,0.018573551263001486,0.11484768241643906,1.0807759416032119
10,1.0,5,24,0.0,0.16749879717826843,0.3791471844919328
10,1.0,10,20,0.005200594353640416,0.16982583701610565,0.7962034888475591
10,1.0,15,16,0.015787518573551262,0.16501839458942413,1.0510675676590897
20,0.2,5,165,0.24907132243684993,0.1375204622745514,0.907741287930218
20,0.2,10,88,0.4426077265973254,0.05752674490213394,0.7662269523076902
20,0.2,15,60,0.5787518573551264,-0.08472882211208344,0.7852459325165986
20,0.4,5,53,0.02451708766716196,-0.14930510520935059,1.1073274846579069
20,0.4,10,48,0.07113670133729569,-0.037713758647441864,1.068786836861177
20,0.4,15,43,0.13075780089153047,0.17007029056549072,1.2566532036859812
20,0.6,5,32,0.0009286775631500742,0.006942008621990681,0.5314909296969157
20,0.6,10,27,0.010215453194650817,0.04674737900495529,1.0024789707325301
20,0.6,15,21,0.0287890044576523,0.0883135199546814,1.2022369031305713
20,0.8,5,26,0.0007429420505200594,0.04775409400463104,0.40832963172380027
20,0.8,10,22,0.005943536404160475,0.12314289063215256,0.9291610960248317
20,0.8,15,17,0.01838781575037147,0.1166343092918396,1.2139736901244755
20,1.0,5,23,0.0,0.2369241863489151,0.34328330769521676
20,1.0,10,19,0.005200594353640416,0.23996601998806,0.8983817019677082
20,1.0,15,14,0.015787518573551262,0.23984283208847046,1.0823919448299801
50,0.2,5,161,0.24925705794947994,0.10106738656759262,0.8696891856610737
50,0.2,10,93,0.44335066864784545,0.04543779045343399,0.766762208748107
50,0.2,15,62,0.5841381872213968,-0.08996139466762543,0.7651488136118366
50,0.4,5,54,0.028417533432392273,-0.0653841570019722,0.8442681462385797
50,0.4,10,47,0.0737369985141159,-0.048309165984392166,1.0212180044856851
50,0.4,15,43,0.13354383358098068,0.1728009730577469,1.1418789127952726
50,0.6,5,33,0.001114413075780089,0.012150566093623638,0.5600844189954175
50,0.6,10,26,0.011701337295690936,0.12816812098026276,0.9820783841050175
50,0.6,15,21,0.029717682020802376,0.10928478837013245,1.2498438693087977
50,0.8,5,29,0.0007429420505200594,0.082804836332798,0.4021072876926564
50,0.8,10,25,0.00724368499257058,0.21335908770561218,0.9747674204646695
50,0.8,15,20,0.017830609212481426,0.21620194613933563,1.2218772598631884
50,1.0,5,29,0.0,0.18160085380077362,0.37469151297230374
50,1.0,10,24,0.006315007429420505,0.2193423956632614,0.9656912038682391
50,1.0,15,20,0.01690193164933135,0.21653904020786285,1.2227531071520121
100,0.2,5,168,0.2513001485884101,0.13909386098384857,0.8847761654508721
100,0.2,10,87,0.4526374442793462,0.02724294178187847,0.7872661454062169
100,0.2,15,61,0.5893387815750372,-0.09314924478530884,0.7567338383652761
100,0.4,5,51,0.021731054977711738,-0.07487494498491287,0.9720570807829045
100,0.4,10,44,0.07485141158989599,0.05338828265666962,1.0959645344646711
100,0.4,15,44,0.1313150074294205,0.1726817488670349,1.2311839577526695
100,0.6,5,31,0.001300148588410104,0.08612897992134094,0.6029873118037753
100,0.6,10,26,0.01225854383358098,0.1209377646446228,0.946585321598929
100,0.6,15,21,0.029903417533432394,0.1026056781411171,1.2919702581722659
100,0.8,5,29,0.0009286775631500742,0.06930387020111084,0.47265842044156225
100,0.8,10,24,0.007800891530460624,0.12807154655456543,0.9416210207479646
100,0.8,15,20,0.01838781575037147,0.128985196352005,1.2884322916729944
100,1.0,5,26,0.0,0.09575753659009933,0.3794763084759812
100,1.0,10,21,0.00687221396731055,0.12111526727676392,0.9155888962535514
100,1.0,15,16,0.017459138187221397,0.13492068648338318,1.2150249836318225
