k,silhouette,davies_bouldin,inertia
4,0.44552378736690557,1.2179233995529544,192.7686728795204
5,0.4424166477509414,1.1923318526910953,186.42012202236668
6,0.2125067409939677,1.575099054246901,175.70164993763908
7,0.27338327746583063,1.4174271585942573,166.35496382170928
8,0.10739154460738681,1.7751111157014432,157.59064908420405
9,0.10243772214804854,1.9304999951863582,154.27275417575476
10,0.1034678217061273,1.762696826431822,150.98883955777347
11,0.05432418481928744,1.8635138748057485,149.0043047180097
12,0.05520313395279057,1.9430392076441032,145.0836036900723
13,0.06085907835260173,2.0577255045330585,143.21074962431123
14,0.06230117566873791,1.971657228393351,138.20859537639078
15,0.06636000791147524,1.9930684804657517,137.3435980027764
16,0.0674390843969543,1.9183627777373964,134.84278858043103
17,0.06856519932823316,1.914355782922282,133.4539749397593
18,0.07148575352044052,1.879457941736791,131.41480166999185
19,0.0702332890382748,1.8891035272732084,129.76628196990677
20,0.0728681383458749,1.932938309856216,129.27274419475287
